ESCH COLI      0523-84 11000000110000110010000110111100000010110010011
ESCH COLI      3290-88 11000001110000110000000110111100000010100010001
ESCH COLI      1007-79 01000000110000110001100110110000001010110010101
ESCH COLI      0615-83 11000000110000110000000110111100000010100010011
ESCH COLI      0878-80 11000000010001110001000010011100000011110010101
ESCH COLI      2941-78 11000000010000110000000010111100000010100010001
ESCH COLI      0812-80 11000000010000110000000010111100000010100010001
ESCH COLI      1841-82 11000000110000110000000010111100000010100010001
ESCH COLI      0690-84 10000000010000110110000010111100000001100010011
ESCH COLI      0715-83 10000011110000111000000010111000001001100010101
ESCH COLI      1898-79 01000000010000111010000010111100001011100010101
ESCH COLI      0980-79 11000001010000111010000010111100001010100010101
ESCH COLI      2500-79 11000001110000111010000110101100001010100010101
ESCH COLI      0236-82 00000001110000111010000110111100001010100010101
ESCH COLI      3016-85 10000001010000111110000110111100000011100010111
ESCH COLI      0335-84 01000000010000111110000110111100001010010010101
ESCH COLI      2832-81 11000000010000111010000110111100001000100010111
ESCH COLI      0626-79 11000000010000110111000010111100001011010010101
ESCH COLI      2620-81 01000000110000111110000110111100001010110010101
ESCH COLI      1284-77 11000001010000110110000110110100000010100010111
ESCH COLI      2232-80 11000000110000111000000010111100000011110010101
ESCH COLI      0166-83 11000001010000110010000110010100000000110010111
ESCH COLI      0200-82 11000000110000110000000110110100000011110010101
ESCH COLI      3298-87 11000000110000110000000110110100000011010010101
ESCH COLI      1920-79 11000001010000110010000110010100000010010010001
ESCH COLI      1988-78 11000001010000110010000110010100000010100010011
ESCH COLI      2606-79 01000001110000111010000010111100000001110010101
ESCH COLI      1521-81 11000101110000110010000110010100010000110010101
ESCH COLI      1553-81 11000101110000110010000110010100000000110010101
ESCH COLI      1830-81 11000101110000110010000110010100000000110010111
ESCH COLI      1884-80 11000101110000110010000110010000000011110010101
ESCH COLI      0125-84 11010101110000110010000110010100010000110010101
ESCH COLI      0147-83 11000001010000110010000110010100000000010010101
ESCH COLI      3072-80 11000001010000111010000110110100001010110110111
ESCH COLI      0046-80 11000000010000110000000010011100000011110010101
ESCH COLI      1477-79 11000001110000111010000110010100000010010010111
ESCH COLI      2547-87 11000101110000110010000110010100000010110010111
ESCH COLI      2099-80 11000101110000110010000110010100000010110010111
ESCH COLI      1522-81 11000101110000110010000110010100000010110010101
ESCH COLI      1164-83 11000001010000110010000110010100000011110010101
ESCH COLI      2471-79 11000001010000110010000110010100000010100010101
ESCH COLI      3201-85 11000101110000111010100110010110010011110010101
ESCH COLI      1063-82 11000101110000110010000110010100000011010010101
ESCH COLI      3412-87 11000101010000111010000110010100000011110010101
ESCH COLI      2501-88 01000001110000110010000110010100000010110010111
ESCH COLI      2806-79 01000001010000110010000110100100000010110010111
ESCH COLI      0214-82 10000001110000110010000110110100000011100010101
ESCH COLI      1949-77 01000001010000110010000110010110000010110010101
ESCH COLI      2239-79 11000001010000111010000010010100000010110010101
ESCH COLI      2606-87 01000001110000111010000010010100000011110010101
ESCH COLI      3301-73 01000001010000110010000110011110000011110110101
ESCH COLI      2300-77 11000001010000111010000010010100000010010010101
ESCH COLI      1107-84 01000001110000111010000010000100000011110010101
ESCH COLI      3169-86 11000001010000110010000010010100000011110010111
ESCH COLI      2550-87 01000001010000110010000110000100000010100010101
ESCH COLI      0146-80 11000000010000111010000010010100000010110010101
ESCH COLI      4403-74 11000000110000110000000010010100000111110110001
ESCH COLI      3118-77 11000101110000110010000010111100001010110010101
ESCH COLI      2444-87 11000101110000111110000110010100010001110010111
ESCH COLI      1281-77 11000001111000110010000010110100000011110010011
ESCH COLI      1138-77 11000101111000110111100010011100010011100010101
ESCH COLI      0048-79 11000001111000110010100110011100010010110010101
ESCH COLI      0633-84 01000000111000110011000110111100011011110010001
ESCH BLAT      2928-78 01000001010001110000000010111100000011100010001
ESCH COLI      1126-81 11000000010000110011000110110100000011110010011
ESCH COLI      3442-86 01000001111000110010000110111100001011110010011
ESCH COLI      3119-87 01000000010000110011000110110100001011110010011
