Vibrio vulnificus                0116 LMG 13638               001111010001010011000101010000010010000000100000000001000000000001011110000000001000010000000011
Vibrio vulnificus                0132 TAI 03                  011111110001010111000111011000010010000000100000000001000001000001111110000000001100011100001011
Vibrio vulnificus                0191 ATCC 33864              001110010001010001000101001000010010000000100000000100000001000000011111000000001000011000001011
Vibrio vulnificus                0213 VIB 535                 001111110001010111010111011000010010100000101000100101000001111101111110000001001100011000001011
Vibrio vulnificus                0214 VIB 536                 001111110001010111010111011000010011000000101000000001000001100001111110000001001000011100001011
Vibrio vulnificus                0215 VIB 529                 001111110001010111000101011000010010000000100000100001000001000001111110000000001000011000001011
Vibrio vulnificus                0274 VIB 522                 001100110001010111000101010000010010000000100000100000000000000000011010000000000000011000000011
Vibrio vulnificus                0275 VIB 523                 001111110001010111000101000000010010000000101000000001000000001000111110000000000000011100000011
Vibrio vulnificus                0324 VIB 636 (Ven,48)        001111010001010111000101001000110010100000101000000001000001000010111111000001000100011100001111
Vibrio vulnificus                0444 MJP TW1                 001110110001010111000111010000010010000000101000000001000001000000011110000000000000011100000011
Vibrio vulnificus                0464 VIB 524                 001111110001010111000101011000010010100000101000101101000001011001111111000001001000011100001011
Vibrio vulnificus                0466 VIB 527                 001111110001010111000101011000010011010000100000101101000000011000111110000000001000010000001111
Vibrio vulnificus                0481 VIB 682                 011110110001010001000101001000010010000000100000000000000000000001111110000000001100011100000011
Vibrio vulnificus                0491 VIB 681                 011100010001010111000111001001110010000000100000000000000001000001111100000000001000011100000011
Vibrio vulnificus                0605 VIB 816                 001111110001010111000111011000010011000000100000000101000001100001111110000000001100011100001011
Vibrio vulnificus                0700 LMG 12090               001110110001010111000101001000110011000000100000000001000001010011111111000001001100011100001111
Vibrio vulnificus                0701 LMG 12092               001111110001010111010101001000110011000000101000000101000001010111111111000001001100011100001111
Vibrio vulnificus                0702 LMG 12095               011111110101010111000111011000010011000000101000000001000001000100111110000000000000011100000011
Vibrio vulnificus                1032 CCUG 38297              001110110101010111000111001000010010000000100000000101000001100001111110000001001100011000000011
Vibrio vulnificus stable         0692 LMG 13545T              011111110001010111000101001000010011010000101000000101000001110101111110000000001000011100001111
Vibrio STD3-932                  0392 VIB 615                 011110110001010011000111011000110010000000101000000000000001000000011010000000001000010000000011
Vibrio STD3-932                  1211 HPE-8-1                 011100010001010111000110000000110010000000101000000001000001000101111011000000001000011100000011
Vibrio STD3-932                  1225 HL-30 (P2)              001100010001010111000111001000110010000000101000000001000001000001011111000000011100011100001111
Vibrio STD3-932 stable           0940 STD3-932                001100010001010111000111001000110010000000101000000001000000000101111111000000011100011000000011
Vibrio harveyi                   0010 RFT 16                  011110010101010111000101111000110010000000101000000101000001000001111110000000011100011000001011
Vibrio harveyi                   0014 RFT 51                  011111010101010111000111111100110011110000101000000101000001001001111111000001011100011100001111
Vibrio harveyi                   0016 FKFO 255                011111010101010111000111111000110011100000101000000101000001000001111111000001011100011100001011
Vibrio harveyi                   0021 RFT 41                  011111010101010111000101111000110011100000101000000101000001000001111111000001011100011100001011
Vibrio harveyi                   0036 RFT 33                  011111010101010111000101111000110011100000101000000101000001000001111111000001011100010100001011
Vibrio harveyi                   0042 JAL 17                  001110010001010001000111000000010010000000101000000001000000000000100100000000001000010000000011
Vibrio harveyi                   0076 VIB 239                 001111010001010101000111001000010010000000101000000101000001100001111111000001001100011100001011
