TAR 15                           0001                          1001110101000001000000001000000000000010010100000000100010001000001000000011000011100110111111011000010000100110000100000011001100100000110011011011101110101101100011110000110011000111110000101011100000000010001101101001110001111101111000110001100110001100000110011010100000010011000011100101100001010000011101100001100
LMG 10953                        0002                          0000100001000001000000001000000000000000010000001100011010000000011000000000000111100110011110011000110001100011011011000011001111000011000010000111001111111111100011111101100011011111110011111111100000001101000000000001111000011101111000111001101100001100000110001110000000011000110011100111110001010010110011100000010
RFT 15                           0003                          0001100110000001100000001000000100000100000010000001001011001000001100000010000101010100001011010000010000100010000101000010011110100000101010011101101111101111101011110001000011001111100001011101110000000010000000000001111000111101100010010101111100001100000110001110000001110011100011100100000110000000010001010000000
RFT 31                           0004                          0001100101000010100000001000000100000100000000000000011011100100011110000011000111010110011011010000010000010011000111000010011110100000111110111110111111101111101011110001100011001111100001111111100000000101000000000001111000111101100010000001101100001100000110001110000001110010110011000110000111000000010000000000000
INCO 19                          0005                          1000100110001001010000001001000011000000011100000001001100001100001100000011000111111111111111011000110110000011000111000000101100000001111111000100001111111111101010110011100011000001100001101011100110001111010100000001111001111101100001000001101100011100001111001101100000000011110011000001100001010000000000011000000
INCO 16                          0006                          1000100110000101010000001000100001000000010100000001000100000100001000000010000011010010001111101000010110000010000011000000101100000001111011000100001111111111101010110011100011010001110001101011100110001111010100000001111001101101100101000001101100111100001111001101010000000101111011100101100001010000000000011000000
INCO 85                          0007                          1000000101000101000000001000100011000000001110001100000110111000011001100011000111111110011011110000110000100111001111000000000001110011110000011000001111111111100011101100000111001111110111100111100000000011010100000001111000111111100110000001101100001100001011101110000011011110110011000001110001100000001101000000000
INCO 79                          0008                          0000000101001001000000001000100001000000001100001000000010011000001001000001000100101010001010100000010000100010001011000000000000110011110000011001001111111111100011101100000111011111110111100111100000000011010100000001111000111111100110000001101100001100011111100110000010110011010011000101100001000000001000000000000
INCO 89                          0009                          1000000101000101000000001000100001000100001100001001000000101000001001000001000100110100010010100000010000001100001010000000000001010000110000011001001111111111000011000000000111001111110110000011100000000000010100000001101000101111000110000001101100001100011111101111000101010011101011000101100001000000001000000000000
R-14964                          0010                          1000000111000101000000001000100001000100001100001001000000101000001001000001000100111100010011100000010000100110001011000000000001110000110000011001101111101111100011000000000111001011110110000011100000000000010100000001110000101101100110000001111100001100011011101100000001010010011011000100000000000000000000000000000
INCO 38                          0011                          1001110101000011110000001001000000011101010001000001001001001100001001100011000101010010000011110000000000110110000111110111101000100001100000000011011111101111111011111001100011100001100111111111100000001010001101010011111011110001100000110001101100001100000110011110100000010010110011000101100001001000101001000000000
INCO 33                          0012                          1001100101000011110000001001000000111101010011000001001001001100011001100011000100011010000111110000000000000110000011110011101100100001100000100011111111001111111011111001100011100001100110111111100000001100001100110011111011110001100000110001101110001100000110011110000000010010110011000101100010001000000000000000000
INCO 199/R14967                  0013                          1001100100000011010000001001000000011101110001000000010000111000001001000001000101010010000011110000000000100110000111010111101001100001100000000001111111101111011011110001100011100001000110111011100000001010001101100011111011110001100000110001101100001100000110011111000000010011100011000011100101001010111101110001000
INCO 188                         0014                          1001110101000001110000001001000000111101010011000000011000111100011001100011100111111110000111111000000000110110000111110111101100110001100000000001111111111111111011111001100011110001100111111111100000001010001100110011111011110001100000110001101100001100000110011111000000000011100011000101100001000000011001000000000
INCO 47                          0015                          1001100101000001110000001001000000110111010001000000011001111100011001100011100111111110000111111000000000110110000111110111101100110001100000000011011111111111111011111001100011110001100111111111100000001100001100110001111000110001100000110001101100001100000110011110000000000011100011000001100000001000001000000000000
INCO 39                          0016                          1001110101000001101000001001000000111101010001000000001001001100001001100011100111111010000111111000000000110110000111110111101100110001100000000011011111111111111011111001100011110001100111111111100000001011001100110011111011110001100000111001101110001100000110011110100000000001100011000101100001001010101000000001000
INCO 246                         0017                          1000010101000001001000100000000000000000110010001000100000101000001000100011000111100110011110011000111000000000000011000111001101100110011000010101101111101111000011110001100011110001100000111011100000000000001100000001111000111101100000000000111100000011011110111110100011110011101100000101100001010100010000010000000
INCO 243                         0018                          1000010101000001001000100000000000000001010010000000100000101000001001100011000111100110011110011000111000000000000011000111001101000110011000000101101111101111000011110001100011110001100000111011100000000000001100000001111000111101100000000000111100000011011110011110000011111011111000000100000000000000000000000000000
INCO 244                         0019                          1100010101000001001000100000000000000000110010000000100000101000001001100011000100000110011110011000011100000000000011000011001101000110011000010101101101101101000011110001100011110001100000111011100000000000010100000001110000101101100000000000111100000011011110011010100011110011100000000111000001001000000000000000000
INCO 222/R14974/LMG 19270        0020                          1000010101000001001000100000000000000001010010000000100000110000011000100011000100000110011110110000111000000000000001100011001101000100011000010101101111101111000011110001100011110001100000111011100000000000010100000001110000101101100000000000101100000010001110011110100011110010111000000101000000000000000000000000000
INCO 214                         0021                          1000011101000001001000100000000000000001111110000000110000101000011001100011000110000110011110011000111000000000000011000111001101100110011000011101101111101111000011110001100011110001100000111011100000000000001100000001111000111101110000000000111100000011001110111111000011111010101000000100000000000000000000000000000
INCO 242                         0022                          1000011101000111001001100001000000000001100110001000110000101000011001100011000110000110011110011000111000000000000011000111001101100110011000011101111111101111000011110001100011110001100000111011100000000000010100000001111000111101110000000000111100001011001110111111000011110010100000000100000000000000000000000000000
INCO 213                         0023                          1000010101000001001000100000000000000000110010001000110000101000011001100011000110000110011110011000111000000000000011000111001101100110011000011101101111101111000011110001100011110001100000111011100000000000001100000001111000111101110000000000111100001011010110111110100011101010110100000101100101000000010000000000000
INCO 407                         0024                          1000111110000001001100011001001100000001100010000011011000011100011000000011000111100111111000100001110001111011110001000000011000000000110010011001101110101111101010111101111111110011101101111011000000001111001100000001111000110001110101000001101100001100001111010111000000010011111011000111110011100001001111011000000
INCO 376                         0025                          1000111110000001001100011001101100000001100010000011011000011100011000000011000111100111111000100001110001111001111000000000001100000000110110011000101110101111101010111101111111110011101101111001100000001111001100000001111000110001110101000001101100001100001111011011000000010011101011000111110101100001001111011000000
INCO 389/LMG 20548               0026                          1000010110000001001000010001001100000001100010000001011000001000011000000011000111100111111000100001110001111011110000000000001100000000110010011001101110101111101010111101111111110011101101111011000000001111001100000001111000110001110101000001101100001100001111010111000000010011011011100111110011100001001111011000001
